日付,記録の欠け,人が来た,うち誰か分かった,照合できた,新しく登録,物として弾いた,顔が取れない,見送り,その人向けの声,声ぜんぶ,シンク比較が成立,シンク比較を飛ばした,なつき度が上がった,滞在の締め,サーバー起動,喜んだ（生）,喜んだ滞在,注記
2026-09-16,,67,9,42,2,0,120,38,3,13,6,0,2,4,1253,,,
2026-09-17,,75,6,14,0,0,58,39,3,12,5,5,2,4,1359,,,
2026-09-18,,149,0,0,0,0,11,3,0,2,6,12,0,0,2,,,
2026-09-19,,111,11,92,1,30,74,20,8,20,6,1,3,5,3,,,
2026-09-20,,93,11,80,4,24,62,14,2,9,16,0,5,10,1,,,
2026-09-21,,51,14,395,5,196,230,70,7,26,4,1,1,4,6,6,3,
2026-09-22,,69,13,426,3,150,123,28,9,44,5,6,5,4,8,7,4,16:25〜22:09 はシンクの向きが9/12の写り方と違っていた（16:25〜19:46は壁）：シンクの判定・前後比較・16:45 の care 1件は無効／22:09〜22:37 に片づけ1回あり（待つ向きの変更で比べる区画が立て直しになり、記録漏れ）
2026-09-23,,58,15,452,0,67,133,44,12,36,8,1,9,10,21,11,8,23:24:49 以降のシンク比較は無い（向きの補正が合わなくなったため・9/24 20:14 に復旧）
2026-09-24,,62,7,101,0,35,76,21,4,44,0,0,0,4,11,7,6,13:20:34〜15:11:59（1時間51分）は橋渡しが止まっており写真が届いていない：この間の人の出入り・シンク比較は記録に無い。原因は橋渡しをトークの裏プロセスで動かしていたこと（セッション終了で巻き添え）。9/24 にWindowsのタスク ArigatoBridge へ移した／16:07 から、誰か分からない滞在も数えるようになった（それ以前と「滞在の締め」の数は比べられない）／シンクの判定が 9/23 23:24:49〜9/24 20:14:34（20時間50分）止まっていた：カメラの向きの補正（aim_fix の dx）が +0.12 のままで実際は +0.07 が正しく、写真上274pxのずれで見回りの写真が全部「違う景色」と弾かれていた。この間のシンク比較・世話・なつき度は記録に無い。9/24 20:13 に補正を直し見本を撮り直した
2026-09-25,,18,5,29,0,0,9,4,1,5,1,0,5,20,12,5,5,
2026-09-26,,16,11,162,1,26,16,20,5,46,1,0,7,20,15,8,3,
